DateTime,Height,Type,Slack Start,Slack End
2025-12-01 06:00:00,2.4,HW,2025-12-01 04:30:00,2025-12-01 07:30:00
2025-12-01 12:50:00,0.62,LW,2025-12-01 11:20:00,2025-12-01 14:20:00
2025-12-01 19:30:00,2.25,HW,2025-12-01 18:00:00,2025-12-01 21:00:00
2025-12-02 01:10:00,1.13,LW,2025-12-01 23:40:00,2025-12-02 02:40:00
2025-12-02 07:10:00,2.48,HW,2025-12-02 05:40:00,2025-12-02 08:40:00
2025-12-02 13:50:00,0.55,LW,2025-12-02 12:20:00,2025-12-02 15:20:00
2025-12-02 20:20:00,2.35,HW,2025-12-02 18:50:00,2025-12-02 21:50:00
2025-12-03 02:10:00,0.93,LW,2025-12-03 00:40:00,2025-12-03 03:40:00
2025-12-03 08:20:00,2.56,HW,2025-12-03 06:50:00,2025-12-03 09:50:00
2025-12-03 14:40:00,0.51,LW,2025-12-03 13:10:00,2025-12-03 16:10:00
2025-12-03 21:10:00,2.45,HW,2025-12-03 19:40:00,2025-12-03 22:40:00
2025-12-04 03:00:00,0.73,LW,2025-12-04 01:30:00,2025-12-04 04:30:00
2025-12-04 09:20:00,2.62,HW,2025-12-04 07:50:00,2025-12-04 10:50:00
2025-12-04 15:30:00,0.51,LW,2025-12-04 14:00:00,2025-12-04 17:00:00
2025-12-04 21:50:00,2.54,HW,2025-12-04 20:20:00,2025-12-04 23:20:00
2025-12-05 03:50:00,0.56,LW,2025-12-05 02:20:00,2025-12-05 05:20:00
2025-12-05 10:10:00,2.63,HW,2025-12-05 08:40:00,2025-12-05 11:40:00
2025-12-05 16:20:00,0.56,LW,2025-12-05 14:50:00,2025-12-05 17:50:00
2025-12-05 22:40:00,2.59,HW,2025-12-05 21:10:00,2025-12-06 00:10:00
2025-12-06 04:40:00,0.45,LW,2025-12-06 03:10:00,2025-12-06 06:10:00
2025-12-06 11:10:00,2.59,HW,2025-12-06 09:40:00,2025-12-06 12:40:00
2025-12-06 17:00:00,0.67,LW,2025-12-06 15:30:00,2025-12-06 18:30:00
2025-12-06 23:20:00,2.61,HW,2025-12-06 21:50:00,2025-12-07 00:50:00
2025-12-07 05:30:00,0.41,LW,2025-12-07 04:00:00,2025-12-07 07:00:00
2025-12-07 12:00:00,2.51,HW,2025-12-07 10:30:00,2025-12-07 13:30:00
2025-12-07 17:50:00,0.8,LW,2025-12-07 16:20:00,2025-12-07 19:20:00
2025-12-08 00:00:00,2.61,HW,2025-12-07 22:30:00,2025-12-08 01:30:00
2025-12-08 06:20:00,0.43,LW,2025-12-08 04:50:00,2025-12-08 07:50:00
2025-12-08 12:50:00,2.4,HW,2025-12-08 11:20:00,2025-12-08 14:20:00
2025-12-08 18:40:00,0.96,LW,2025-12-08 17:10:00,2025-12-08 20:10:00
2025-12-09 00:50:00,2.56,HW,2025-12-08 23:20:00,2025-12-09 02:20:00
2025-12-09 07:20:00,0.51,LW,2025-12-09 05:50:00,2025-12-09 08:50:00
2025-12-09 13:50:00,2.28,HW,2025-12-09 12:20:00,2025-12-09 15:20:00
